Date,Day,Temp,Genotype,Flask,Method,Count1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Average,Density,Densityx10000
5/27/2019,8,30,RT362,2,2,53,58,69,54,,,,,,,58.5,585000,58.5
5/27/2019,8,30,RT362,3,2,49,63,53,69,,,,,,,58.5,585000,58.5
5/27/2019,8,30,RT362,4,2,40,55,49,64,,,,,,,52,520000,52
5/27/2019,8,30,CCMP2458,1,2,59,58,49,63,,,,,,,57.25,572500,57.25
5/27/2019,8,30,CCMP2458,2,2,61,66,52,45,,,,,,,56,560000,56
5/27/2019,8,30,CCMP2458,3,2,57,64,53,79,,,,,,,63.25,632500,63.25
5/27/2019,8,30,CCMP2458,4,2,65,69,68,63,,,,,,,66.25,662500,66.25
5/27/2019,8,30,FLCass,1,2,41,52,60,38,,,,,,,47.75,477500,47.75
5/27/2019,8,30,FLCass,2,2,31,61,30,51,,,,,,,43.25,432500,43.25
5/27/2019,8,30,FLCass,3,2,36,43,30,96,,,,,,,51.25,512500,51.25
5/27/2019,8,30,FLCass,4,2,47,37,47,40,,,,,,,42.75,427500,42.75
5/27/2019,8,30,CCMP2464,1,0,6,6,15,12,,,,,,,9.75,10833.33333,1.083333333
5/27/2019,8,30,CCMP2464,2,0,9,8,8,14,,,,,,,9.75,10833.33333,1.083333333
5/27/2019,8,30,CCMP2464,3,0,9,12,16,13,,,,,,,12.5,13888.88889,1.388888889
5/27/2019,8,30,CCMP2464,4,0,18,12,13,11,,,,,,,13.5,15000,1.5
5/27/2019,8,30,KB8,1,2,83,67,72,76,,,,,,,74.5,745000,74.5
5/27/2019,8,30,KB8,2,2,39,70,64,77,,,,,,,62.5,625000,62.5
5/27/2019,8,30,KB8,3,2,49,76,49,66,,,,,,,60,600000,60
5/27/2019,8,30,KB8,4,2,30,47,63,50,,,,,,,47.5,475000,47.5
5/27/2019,8,32,CCMP2458,1,0,190,217,232,204,,,,,,,210.75,234166.6667,23.41666667
5/27/2019,8,32,CCMP2458,2,0,165,214,235,189,,,,,,,200.75,223055.5556,22.30555556
5/27/2019,8,32,CCMP2458,3,0,254,202,253,168,,,,,,,219.25,243611.1111,24.36111111
5/27/2019,8,32,CCMP2458,4,0,158,171,214,189,,,,,,,183,203333.3333,20.33333333
5/27/2019,8,32,FLCass,1,0,130,141,191,163,,,,,,,156.25,173611.1111,17.36111111
5/27/2019,8,32,FLCass,2,0,188,187,173,165,,,,,,,178.25,198055.5556,19.80555556
5/27/2019,8,32,FLCass,3,1,149,78,84,106,,,,,,,104.25,260625,26.0625
