Round,Genotype,Flask,Temp,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note
July,FLCass,1,30,828780.5339,37869.105,0.347399864,8.747989559,1.995243099,9261257.589,9277604.173,98426.97566,
July,FLCass,1,32,809728.5367,27051.51659,0.355581871,9.463297552,1.94933217,8507601.508,8281770.828,114511.2091,
July,FLCass,2,26,1057082.824,30810.50186,0.305810211,11.46408027,2.266592661,9166111.123,9077361.115,170114.0383,
July,FLCass,2,30,884166.5524,15970.95153,0.430251855,9.286759486,1.611026595,9455191.771,9565798.615,125355.9805,
July,FLCass,2,32,770885.1687,12383.14689,0.405620574,10.14497119,1.708856071,7600901.787,7632222.218,109532.7867,
July,FLCass,3,26,878781.8488,14941.56349,0.398321158,10.18585377,1.740171633,8630471.575,8903472.23,205461.8287,
July,FLCass,3,30,986584.8802,20213.10821,0.398912529,9.694399211,1.737591905,10156362.06,10088888.9,136264.5313,
July,FLCass,3,32,694583.8324,6547.294699,0.481324485,9.670794118,1.440082941,7170800.14,7010972.218,112570.4826,
July,FLCass,4,26,6499635.732,79946.98264,0.138217809,31.73079679,5.014890517,7898271.52,7661666.661,179718.5955,
July,FLCass,4,30,986180.0201,9283.70414,0.482521336,9.649562735,1.436510946,10201866.28,10505381.94,137424.5754,
July,FLCass,4,32,592964.5645,2321.383209,0.663003633,8.354477385,1.045465131,6902270.534,6780138.89,123183.6762,
July,KB8,1,26,1018049.568,18009.53802,0.332478172,12.08167677,2.08479004,8219157.425,8333333.33,80738.16155,
July,KB8,1,30,1159903.559,59612.60174,0.288708839,10.09828086,2.400851958,11497077.63,11446111.11,81010.89848,
July,KB8,1,32,1166643.014,46889.03577,0.27091677,11.71238094,2.558524455,9925513.119,9965555.563,90687.12999,
July,KB8,2,26,937527.866,10157.63557,0.394742355,11.43562912,1.755948332,8082925.186,8377881.944,106581.6589,
July,KB8,2,30,1203202.79,55290.10922,0.302047276,10.04182694,2.294830098,11986383.02,11921944.44,69832.37056,
July,KB8,2,32,1179842.948,24397.26088,0.312560589,12.34247276,2.21764101,9285656.568,9505138.883,85721.15152,
July,KB8,3,26,772286.7472,5621.010427,0.425459226,11.5534913,1.629174169,6559106.624,6913958.332,96953.42419,
July,KB8,3,30,1339466.961,62495.58488,0.274316937,10.99877596,2.526811464,12220322.52,12241250,98292.54683,
July,KB8,3,32,1328418.615,34810.04584,0.253752338,14.24729695,2.731589335,8596471.256,8721249.993,74083.61448,
July,KB8,4,26,921735.6602,3617.238051,0.467474759,11.84366752,1.482747822,7553300.328,7864722.22,60649.71817,
July,KB8,4,30,1287018.307,35265.22667,0.335056262,10.65314491,2.068748623,12086937.87,12176597.23,73144.2749,
July,KB8,4,32,1366936.979,63517.74056,0.220712221,13.68944148,3.140502045,9705385.738,9529722.23,65720.38994,
July,RT362,1,26,2.39285E+12,101915.3613,0.127955556,132.6367329,5.417093274,9497606.183,9213749.998,179106.2394,
July,RT362,1,30,884769.24,34.39727733,1.233312405,8.233976901,0.562020765,10410187.78,10335173.62,153092.5724,
July,RT362,1,32,4183005.293,106643.3944,0.12921616,28.19670292,5.364245319,8801031.647,8413888.895,167200.4127,
July,RT362,2,26,997581.7761,3863.522061,0.623563709,8.900252566,1.111589996,11068275.21,10351666.66,238748.2511,
July,RT362,2,30,999192.1236,5904.359458,0.580833372,8.824096017,1.193366659,11159286.61,10729305.55,192973.1811,
July,RT362,2,32,834535.3773,5933.121599,0.611000308,8.083776231,1.134446532,9935705.345,9513055.563,129753.482,
July,RT362,3,26,887962.9344,6739.15287,0.525736065,9.269627289,1.318431866,9521287.934,9013194.438,166127.6349,
July,RT362,3,30,949230.7007,1932.704867,0.751501642,8.243086731,0.922349523,11157632.38,10688055.56,228553.1808,
July,RT362,3,32,1039459.586,48119.18697,0.305814626,9.892845908,2.266559941,10495981.85,9784999.995,202543.1564,
July,RT362,4,26,1378526.175,80232.90092,0.211199396,13.18125051,3.281956262,10396152.8,9839166.668,197836.9971,
July,RT362,4,30,961382.8864,11308.77431,0.570433149,7.767713166,1.215124299,11741539.58,11310138.89,140230.3733,
July,RT362,4,32,1007300.953,28058.14349,0.401718325,8.843262806,1.725455718,11195561.58,10419305.56,222020.2697,
